id;name;performer;release_year;disc_count;medium;label;state;added
1;cross-platform human-resource;FTP Fresh port;Infrastructure Lesotho Fantastic;mobile Motorway;EXE Fantastic Incredible;initiatives Table online;LOST;2022-02-08T06:48:22
2;Metal solid client-driven;Generic;payment;District HDD;Persistent hack;connecting Card;AWAY;2022-02-07T23:37:14
3;Mouse;Refined Coordinator seamless;real-time SSL;Directives Visionary;Ergonomic Cliffs deploy;bypassing Berkshire;EXPECTED;2022-02-08T05:47:43
4;frictionless Engineer Burkina;Bedfordshire National;Principal Plastic;up Generic;Polarised Paradigm;synergize Account;LOST;2022-02-07T20:11:39
5;Consultant Cambridgeshire Reactive;vortals;Tactics monitor GB;Internal;Interactions;Borders;LOST;2022-02-08T04:47:15
6;Incredible hack;Nevada Peso;orange;HTTP well-modulated;Solutions Pants;dedicated;EXPECTED;2022-02-07T18:00:46
7;Incredible;Borders Granite;Sweden Dynamic Technician;interface;Belgium Berkshire Bedfordshire;Cambridgeshire Auto;AWAY;2022-02-07T22:00:33
8;Object-based microchip Organized;Fantastic Niger;initiatives;systematic quantifying;Buckinghamshire;National Bike Court;AWAY;2022-02-08T12:51:15
9;Pizza Facilitator;background TCP;Ohio circuit quantifying;Shirt Gloves;transparent;Nebraska Fully-configurable;EXPECTED;2022-02-08T03:37:08
10;Table ability;Corporate 5th archive;communities deposit;Utah Borders;Cambridgeshire;Dynamic secondary;LOST;2022-02-08T09:30:32
