id;name;performer;release_year;disc_count;format;lang;state;added
1;Dynamic Gorgeous Mississippi;optical Regional;deposit Plastic Hill;plum Uzbekistan Shirt;Austria circuit Handmade;Concrete Chicken Stravenue;UNDEFINED;2022-02-08T05:48:29
2;Internal Practical mindshare;alarm sexy;District Developer;6th;Florida online Cotton;circuit HDD;UNDEFINED;2022-02-08T10:04:19
3;Account;synthesizing Loan auxiliary;New National calculating;Crescent mesh Miquelon;navigate SCSI Iraqi;Fantastic Wooden Intelligent;LOST;2022-02-08T11:51:54
4;1080p;Borders Handmade;Exclusive orchestration Centralized;Tasty holistic e-tailers;Soap analyzer Human;Moldova firewall Cambridgeshire;EXPECTED;2022-02-08T00:31:25
5;red;Chicken redundant ubiquitous;Fresh AI disintermediate;collaborative;Steel magenta maroon;Louisiana embrace;UNDEFINED;2022-02-08T05:30:40
6;PNG Credit RSS;drive Mandatory;withdrawal base deliverables;feed;AI payment Generic;Avon Accounts grid-enabled;AWAY;2022-02-07T21:43:18
7;back Jewelery;Global Darussalam JBOD;application array Wisconsin;Home;intuitive;Sports Rustic;EXPECTED;2022-02-08T14:50:28
8;payment user-centric Berkshire;functionalities implement Grass-roots;Response Branding;Route salmon Lead;Account innovate;Tuvalu;LOST;2022-02-08T12:42:48
9;Indiana initiatives;Salad override auxiliary;deposit Michigan Intelligent;technologies back-end Intuitive;calculating client-driven;Fresh Dollar mobile;OK;2022-02-08T06:31:11
10;Cotton;virtual extend dot-com;Account interfaces;of navigating Agent;Steel;solution fault-tolerant;AWAY;2022-02-08T14:20:11
